,Tweet,len,metrics,source
0,"David Fincher Slams ‘Joker’ &amp; Says He’s Working On Cancel Culture Series: One of the best parts about awards season is getting to see big directors go through the endless press tour cycle until they run out of things to talk about from their movie, and… https://t.co/UlnX9UIZlT https://t.co/Jr3uY6rT73",305,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",dlvr.it
1,"@RemOscuro @IndieWire It was meant to be 'The movie'... as in Joker. Not plural.

You also can't compare a movie released in the early 70's to the 21st Century. The age of Tarantino, Grand Theft Auto or the 'No Russian Mission' and more extreme violent media etc. #Joker 
https://t.co/eGjjdNQtXV",295,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
2,"Fight Club isn’t like a sensitive portrayal of anything, but like it is better than Joker as a movie, come on",109,"{'retweet_count': 1, 'reply_count': 1, 'like_count': 22, 'quote_count': 0}",Twitter for iPhone
3,@chimera_boi @jonah_jill @FilmGob Yeah but that was literally argued by the director. He said they turned down the original movie (which was basically taxi driver 2 until he said he would make it a joker background story.,221,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
4,"@DiscussingFilm WTF. David ""Fight Club"" Fincher?? I'm mentally Ill-ish and JOKER was an amazing origin story. I have to say No to you Mr. Identity Dissociation Disorder as a plot twist Fincher. You don't get to rag on this movie by default.",240,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
5,"@spragueyboy @Adam_R_Moore @Georgelucaschin @IndieWire Absolutely. My whole point for reading this article is I was wondering how the joker movie ""betrayed the mentally ill,"" and I guess we have somewhat of a semiboner of an answer here.",237,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
6,I’m also no longer gonna follow any account that still pretends Joker is a watchable movie and not a series of tropes strung together by AstroTurf marketing,156,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 7, 'quote_count': 0}",Twitter for iPhone
7,"@DeadpoolakaDP @LADYDARKFICTION @cevangelista413 Wow, are you offended? Look, I am a Marvel fan and a bigger DC fan, I also happen to read a lot of comics, and I am big fan of any comic with the Joker in it. Yet, ""Joker"" the movie, still sucks big time. It isn't deep, in fact, is nothing at all. A Scorsese-pastiche at its best.",329,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
8,Thomas Wayne in the Joker movie https://t.co/Fmg1pGjhoB,55,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
9,@jonah_jill @FilmGob I personally think he’s just saying that the movie Joker never would’ve been conjured up if The Dark Knight hadn’t been as big of a success as it was.,171,"{'retweet_count': 0, 'reply_count': 2, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
