,Tweet,len,metrics,source
0,I hate that in spiderman game dr octopus is like being formed right before your eyes and you're just helping him,112,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
1,If you havent watched anything on spiderman miles morales the game then just keep scrolling after u see my tweet https://t.co/03j3p6W79s,136,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone
2,Spiderman: Miles Morales - Part 5 https://t.co/v6mmxqgQhB,57,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Streamlabs Twitter
3,"@ShotinGame @insomniacgames @SpiderMan @PlayStationNZ First, Front-Click 😍. DOF In It Is Making It More Immersive, IMPRESSIVE.",126,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
4,"Finished venom and spiderman seperation anxiety for the genesis. Decent game, but not as good as maximum carnage https://t.co/bfxlHnCWB5",136,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
5,"Challenging myself to draw Peter Parker in the early spiderman manga art style. Using the pose and everything. This was pretty difficult to do.🥲

#marvel #marvelfanart #spiderman #spiderverse #supidaman #japanesespiderman #manga #comic #comicart #illustrations #art #drawing https://t.co/5LG1AXva0r",298,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
6,She came to work hair and take names and Her all done getting pictures of Spiderman,83,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Cheap Bots, Done Quick!"
7,@MarvelADayProj Spiderman's talking about how america failed in https://t.co/8fjY7ERlcd just like the rest of the world.,120,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
8,@JustSkyLmfao yeah that seems to be the case like the new spiderman cool n all but it’s not worth me spending 500 just to play it for 10 hours lol,146,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
9,@mega64 Yoohoo I've never heard of you but I do like free stuff and want to play Spiderman hella bad,100,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for Android
10,Yeah no I 100%ed spiderman on ps4 and I haven't bragged about it. Until now,75,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
11,@Sirafi_ Spiderman.?,20,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for Android
12,"wild how spiderman 3 basically made every character a villain in the story for a brief part of it.
harry was a villain, sandman was a villain, spiderman was a villain

wild how they made that movie work considering it was jam-packed with mini villain arcs.",256,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
13,Marvel's Spider-Man : Miles morales  PART 3 #PS5 #SPIDERMAN #MILESMORALES https://t.co/tbbSoVtfhV,97,"{'retweet_count': 1, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Streamlabs Twitter
14,@sofiabicicleta tell me why i thought u were talking abt t*m h*lland's spiderman when he does not have blond hair or blue eyes or has died,138,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
15,me whent he is the into the is that movie where spiderman is in the into the spider is in that one movie with the different spiderman where they are like into the spider and its like i am from different place different earth that one movie its really cool and i like it a lot,275,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter Web App
16,im gonna watch spiderman far from home,38,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
17,"LIFE IS STRANGE FKDKDK
kingdom hearts too djdkd
and the most recently, spiderman miles morales 😭 https://t.co/CUicLWvNIA",120,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for Android
18,Parker! You're fired! Now get me pictures of Spiderman with The Robust Chinchilla!,82,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","Cheap Bots, Done Quick!"
19,@AKCromwell Yellow but it was probably bc of the Spiderman TikTok. Also pink.,77,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
20,@gokurawt @hey_spiderman Goku get outta there! He doesn't wipe his ass!,71,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for Android
21,not to be a complete nerd but spiderman has to be the best superhero to exist honestly https://t.co/BObYFqaWZ6,110,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
22,@Sky_Net_7 A Spiderman 3 background? Tasteeeee. Its my favorite SM movie too! https://t.co/kL8Uqf7B2R,101,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
23,"Would it be weird if I made a JJJ for my Spiderman and made him into a woman at around her mid to late 30s?
Idk I just kinda feel like doing that o3o",149,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter Web App
24,I remember yesterday it was 2:00 am and I was sketching some spiderman redesign including villains wanna see my ramblings of a madman?,134,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter for Android
25,i have to get new spiderman game before they patch the glitch of people turning into random objects,99,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 3, 'quote_count': 0}",Twitter Web App
26,i’m spiderman btw if you didn’t know,36,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
27,i dont think you understand how perfect it would be if the only things i ever saw on broadway were The Ratatouille musical and Spiderman: Turn Off the Dark,155,"{'retweet_count': 1, 'reply_count': 5, 'like_count': 149, 'quote_count': 0}",Twitter for iPhone
28,@NinjaProAlt Bet you wont make a hotzone themed spiderman https://t.co/BouLHfbpP6,81,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
29,@Thafnine spiderman font is the peak of graphic design,54,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 37, 'quote_count': 0}",Twitter Web App
30,I wish Spiderman would deliver my pizza every day.,50,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for iPhone
31,@Xbox That spiderman game on the ps2,36,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
32,The Spiderman phase never ends ❤️ https://t.co/zknh3DDqdi,57,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 2, 'quote_count': 0}",Twitter for Android
33,side note i already forced my dad to watch spiderman into the spiderverse w me and he tried so hard to hate it (he has a vendetta against spiderman dont ask) but the leap of faith scene Gets Us All,197,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",Twitter for iPhone
34,"I’m one trophy away from doing plati on P5R, just looked through my trophies, I lied I platinumed Batman (the telltale games one), and literally only 3 trophies away in HZD, and 4 trophies in SpiderMan... tempted but I rather just play more video games",252,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",Twitter for iPhone
35,@jimjameswhelan Easily the best Spiderman movie,47,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",Twitter for Android
